10 WRITE diskbuffer 000003FF
1193 READ diskstatus 00000001
1198 READ diskstatus 00000001
1203 READ diskstatus 00000001
1208 READ diskstatus 00000001
1213 READ diskstatus 00000001
1218 READ diskstatus 00000001
1223 READ diskstatus 00000001
1228 READ diskstatus 00000001
1233 READ diskstatus 00000001
1238 READ diskstatus 00000001
1243 READ diskstatus 00000001
1248 READ diskstatus 00000001
1253 READ diskstatus 00000001
1258 READ diskstatus 00000001
1263 READ diskstatus 00000001
1268 READ diskstatus 00000001
1273 READ diskstatus 00000001
1278 READ diskstatus 00000001
1283 READ diskstatus 00000001
1288 READ diskstatus 00000001
1293 READ diskstatus 00000001
1298 READ diskstatus 00000001
1303 READ diskstatus 00000001
1308 READ diskstatus 00000001
1313 READ diskstatus 00000001
1318 READ diskstatus 00000001
1323 READ diskstatus 00000001
1328 READ diskstatus 00000001
1333 READ diskstatus 00000001
1338 READ diskstatus 00000001
1343 READ diskstatus 00000001
1348 READ diskstatus 00000001
1353 READ diskstatus 00000001
1358 READ diskstatus 00000001
1363 READ diskstatus 00000001
1368 READ diskstatus 00000001
1373 READ diskstatus 00000001
1378 READ diskstatus 00000001
1383 READ diskstatus 00000001
1388 READ diskstatus 00000001
1393 READ diskstatus 00000001
1398 READ diskstatus 00000001
1403 READ diskstatus 00000001
1408 READ diskstatus 00000001
1413 READ diskstatus 00000001
1418 READ diskstatus 00000001
1423 READ diskstatus 00000001
1428 READ diskstatus 00000001
1433 READ diskstatus 00000001
1438 READ diskstatus 00000001
1443 READ diskstatus 00000001
1448 READ diskstatus 00000001
1453 READ diskstatus 00000001
1458 READ diskstatus 00000001
1463 READ diskstatus 00000001
1468 READ diskstatus 00000001
1473 READ diskstatus 00000001
1478 READ diskstatus 00000001
1483 READ diskstatus 00000001
1488 READ diskstatus 00000001
1493 READ diskstatus 00000001
1498 READ diskstatus 00000001
1503 READ diskstatus 00000001
1508 READ diskstatus 00000001
1513 READ diskstatus 00000001
